Starostni_razred,SNOMED_CT,Naziv,Datum_cepljenja,st_cepljenj
b: 18 - 59 let,46233009,Gripa,2025-05-23,3
b: 18 - 59 let,46233009,Gripa,2025-09-25,1
b: 18 - 59 let,46233009,Gripa,2025-10-08,11
b: 18 - 59 let,46233009,Gripa,2025-10-21,1555
b: 18 - 59 let,46233009,Gripa,2025-10-24,1743
b: 18 - 59 let,46233009,Gripa,2025-10-27,980
b: 18 - 59 let,46233009,Gripa,2025-11-03,1048
b: 18 - 59 let,46233009,Gripa,2025-11-06,1553
b: 18 - 59 let,46233009,Gripa,2025-11-09,7
b: 18 - 59 let,46233009,Gripa,2025-11-12,1107
b: 18 - 59 let,46233009,Gripa,2025-11-16,4
b: 18 - 59 let,46233009,Gripa,2025-11-19,778
b: 18 - 59 let,46233009,Gripa,2025-11-22,177
b: 18 - 59 let,46233009,Gripa,2025-11-25,548
b: 18 - 59 let,46233009,Gripa,2023-10-04,121
b: 18 - 59 let,46233009,Gripa,2023-10-07,17
b: 18 - 59 let,46233009,Gripa,2023-10-14,5
b: 18 - 59 let,46233009,Gripa,2023-10-17,501
b: 18 - 59 let,46233009,Gripa,2023-10-20,445
b: 18 - 59 let,46233009,Gripa,2023-10-23,474
b: 18 - 59 let,46233009,Gripa,2023-10-30,275
b: 18 - 59 let,46233009,Gripa,2023-11-02,324
b: 18 - 59 let,46233009,Gripa,2023-11-08,692
b: 18 - 59 let,46233009,Gripa,2023-11-15,765
b: 18 - 59 let,46233009,Gripa,2023-11-18,42
b: 18 - 59 let,46233009,Gripa,2023-11-21,492
b: 18 - 59 let,46233009,Gripa,2023-11-28,386
b: 18 - 59 let,46233009,Gripa,2023-12-01,348
b: 18 - 59 let,46233009,Gripa,2023-12-04,148
b: 18 - 59 let,46233009,Gripa,2023-12-07,328
b: 18 - 59 let,46233009,Gripa,2023-12-14,230
b: 18 - 59 let,46233009,Gripa,2023-12-20,116
b: 18 - 59 let,46233009,Gripa,2023-12-23,1
b: 18 - 59 let,46233009,Gripa,2024-01-05,97
b: 18 - 59 let,46233009,Gripa,2024-01-12,48
b: 18 - 59 let,46233009,Gripa,2024-01-15,19
b: 18 - 59 let,46233009,Gripa,2024-01-18,55
b: 18 - 59 let,46233009,Gripa,2024-01-31,14
b: 18 - 59 let,46233009,Gripa,2024-02-06,25
b: 18 - 59 let,46233009,Gripa,2024-02-13,21
b: 18 - 59 let,46233009,Gripa,2024-02-16,9
b: 18 - 59 let,46233009,Gripa,2024-02-19,10
b: 18 - 59 let,46233009,Gripa,2024-02-26,1
b: 18 - 59 let,46233009,Gripa,2024-02-29,4
b: 18 - 59 let,46233009,Gripa,2024-03-13,1
b: 18 - 59 let,46233009,Gripa,2024-03-19,4
b: 18 - 59 let,46233009,Gripa,2024-03-29,1
b: 18 - 59 let,46233009,Gripa,2024-04-04,2
b: 18 - 59 let,46233009,Gripa,2024-09-25,5
b: 18 - 59 let,46233009,Gripa,2024-09-28,6
b: 18 - 59 let,46233009,Gripa,2024-10-01,121
b: 18 - 59 let,46233009,Gripa,2024-10-04,182
b: 18 - 59 let,46233009,Gripa,2024-10-11,515
b: 18 - 59 let,46233009,Gripa,2024-10-14,462
b: 18 - 59 let,46233009,Gripa,2024-10-17,713
b: 18 - 59 let,46233009,Gripa,2024-10-24,1026
b: 18 - 59 let,46233009,Gripa,2024-10-30,272
b: 18 - 59 let,46233009,Gripa,2024-11-02,61
b: 18 - 59 let,46233009,Gripa,2024-11-09,92
b: 18 - 59 let,46233009,Gripa,2024-11-12,675
b: 18 - 59 let,46233009,Gripa,2024-11-15,478
b: 18 - 59 let,46233009,Gripa,2024-11-18,483
b: 18 - 59 let,46233009,Gripa,2024-11-25,285
b: 18 - 59 let,46233009,Gripa,2024-11-28,386
b: 18 - 59 let,46233009,Gripa,2024-12-04,203
b: 18 - 59 let,46233009,Gripa,2024-12-11,142
b: 18 - 59 let,46233009,Gripa,2024-12-14,7
b: 18 - 59 let,46233009,Gripa,2024-12-17,159
b: 18 - 59 let,46233009,Gripa,2024-12-24,42
b: 18 - 59 let,46233009,Gripa,2024-12-27,31
b: 18 - 59 let,46233009,Gripa,2024-12-30,27
b: 18 - 59 let,46233009,Gripa,2025-01-02,1
b: 18 - 59 let,46233009,Gripa,2025-01-09,424
b: 18 - 59 let,46233009,Gripa,2025-01-12,1
b: 18 - 59 let,46233009,Gripa,2025-01-15,113
b: 18 - 59 let,46233009,Gripa,2025-01-18,20
b: 18 - 59 let,46233009,Gripa,2025-01-25,1
b: 18 - 59 let,46233009,Gripa,2025-01-28,49
b: 18 - 59 let,46233009,Gripa,2025-01-31,17
b: 18 - 59 let,46233009,Gripa,2025-02-07,17
b: 18 - 59 let,46233009,Gripa,2025-02-10,8
b: 18 - 59 let,46233009,Gripa,2025-02-13,20
b: 18 - 59 let,46233009,Gripa,2025-02-26,4
b: 18 - 59 let,46233009,Gripa,2025-03-04,7
b: 18 - 59 let,46233009,Gripa,2025-03-11,1
b: 18 - 59 let,46233009,Gripa,2025-03-14,3
b: 18 - 59 let,46233009,Gripa,2025-03-17,2
b: 18 - 59 let,46233009,Gripa,2025-03-24,1
b: 18 - 59 let,46233009,Gripa,2025-04-02,1
b: 18 - 59 let,46233009,Gripa,2025-04-09,1
b: 18 - 59 let,46233009,Gripa,2025-04-15,1
b: 18 - 59 let,46233009,Gripa,2025-05-08,4
b: 18 - 59 let,46233009,Gripa,2025-05-27,1
b: 18 - 59 let,46233009,Gripa,2025-05-30,2
b: 18 - 59 let,46233009,Gripa,2025-10-09,23
b: 18 - 59 let,46233009,Gripa,2025-10-15,90
b: 18 - 59 let,46233009,Gripa,2025-10-22,1535
b: 18 - 59 let,46233009,Gripa,2025-10-25,148
b: 18 - 59 let,46233009,Gripa,2025-10-28,1115
b: 18 - 59 let,46233009,Gripa,2025-10-31,1
b: 18 - 59 let,46233009,Gripa,2025-11-07,1596
b: 18 - 59 let,46233009,Gripa,2025-11-10,958
b: 18 - 59 let,46233009,Gripa,2025-11-13,1143
b: 18 - 59 let,46233009,Gripa,2025-11-20,937
b: 18 - 59 let,46233009,Gripa,2025-11-23,4
b: 18 - 59 let,46233009,Gripa,2025-11-26,667
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-09,3
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-12,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-25,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-07,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-10,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-20,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-23,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-29,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-12,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-15,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-22,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-01-04,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-01-10,4
a: 6 mesecev - 17 let,840534001,COVID-19,2024-01-29,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-03-14,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-04-22,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-10,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-26,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-16,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-19,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-22,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-25,3
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-07,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-23,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-03,4
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-06,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-19,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-01-07,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-02-18,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-05-19,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-07,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-20,4
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-23,3
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-30,4
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-05,2
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-15,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-21,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-11,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-18,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-21,7
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-24,2
a: 6 mesecev - 17 let,840534001,COVID-19,2023-10-27,5
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-06,1
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-09,15
a: 6 mesecev - 17 let,840534001,COVID-19,2023-11-22,4
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-02,4
a: 6 mesecev - 17 let,840534001,COVID-19,2023-12-21,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-01-19,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-02-01,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-03-04,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-09-19,3
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-02,3
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-08,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-18,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-10-28,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-06,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-19,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-22,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-11-29,2
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-02,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-05,1
a: 6 mesecev - 17 let,840534001,COVID-19,2024-12-12,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-01-16,5
a: 6 mesecev - 17 let,840534001,COVID-19,2025-02-20,3
a: 6 mesecev - 17 let,840534001,COVID-19,2025-09-24,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-10-29,6
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-04,7
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-11,2
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-14,1
a: 6 mesecev - 17 let,840534001,COVID-19,2025-11-17,1
b: 18 - 59 let,840534001,COVID-19,2023-09-13,1
b: 18 - 59 let,840534001,COVID-19,2023-10-09,38
b: 18 - 59 let,840534001,COVID-19,2023-10-12,105
b: 18 - 59 let,840534001,COVID-19,2023-10-18,122
b: 18 - 59 let,840534001,COVID-19,2023-10-25,179
b: 18 - 59 let,840534001,COVID-19,2023-10-28,13
b: 18 - 59 let,840534001,COVID-19,2023-11-07,129
b: 18 - 59 let,840534001,COVID-19,2023-11-10,152
b: 18 - 59 let,840534001,COVID-19,2023-11-13,52
b: 18 - 59 let,840534001,COVID-19,2023-11-16,158
b: 18 - 59 let,840534001,COVID-19,2023-11-23,155
b: 18 - 59 let,840534001,COVID-19,2023-11-29,116
b: 18 - 59 let,840534001,COVID-19,2023-12-02,49
b: 18 - 59 let,840534001,COVID-19,2023-12-12,65
b: 18 - 59 let,840534001,COVID-19,2023-12-15,36
b: 18 - 59 let,840534001,COVID-19,2023-12-18,24
b: 18 - 59 let,840534001,COVID-19,2023-12-22,52
b: 18 - 59 let,840534001,COVID-19,2023-12-28,15
b: 18 - 59 let,840534001,COVID-19,2024-01-10,50
b: 18 - 59 let,840534001,COVID-19,2024-01-16,11
b: 18 - 59 let,840534001,COVID-19,2024-01-23,13
b: 18 - 59 let,840534001,COVID-19,2024-01-26,9
b: 18 - 59 let,840534001,COVID-19,2024-01-29,1
b: 18 - 59 let,840534001,COVID-19,2024-02-01,9
b: 18 - 59 let,840534001,COVID-19,2024-02-14,2
b: 18 - 59 let,840534001,COVID-19,2024-02-21,2
b: 18 - 59 let,840534001,COVID-19,2024-02-27,1
b: 18 - 59 let,840534001,COVID-19,2024-03-08,1
b: 18 - 59 let,840534001,COVID-19,2024-03-14,3
b: 18 - 59 let,840534001,COVID-19,2024-03-27,1
b: 18 - 59 let,840534001,COVID-19,2024-03-30,1
b: 18 - 59 let,840534001,COVID-19,2024-04-12,1
b: 18 - 59 let,840534001,COVID-19,2024-04-25,1
b: 18 - 59 let,840534001,COVID-19,2024-05-30,1
b: 18 - 59 let,840534001,COVID-19,2024-06-06,2
b: 18 - 59 let,840534001,COVID-19,2024-06-15,1
b: 18 - 59 let,840534001,COVID-19,2024-07-11,3
b: 18 - 59 let,840534001,COVID-19,2024-07-27,2
b: 18 - 59 let,840534001,COVID-19,2024-07-30,1
b: 18 - 59 let,840534001,COVID-19,2024-08-22,2
b: 18 - 59 let,840534001,COVID-19,2024-09-10,5
b: 18 - 59 let,840534001,COVID-19,2024-09-13,2
b: 18 - 59 let,840534001,COVID-19,2024-09-20,17
b: 18 - 59 let,840534001,COVID-19,2024-09-26,6
b: 18 - 59 let,840534001,COVID-19,2024-10-09,70
b: 18 - 59 let,840534001,COVID-19,2024-10-19,30
b: 18 - 59 let,840534001,COVID-19,2024-10-22,142
b: 18 - 59 let,840534001,COVID-19,2024-10-25,106
b: 18 - 59 let,840534001,COVID-19,2024-10-28,41
b: 18 - 59 let,840534001,COVID-19,2024-11-04,30
b: 18 - 59 let,840534001,COVID-19,2024-11-07,130
b: 18 - 59 let,840534001,COVID-19,2024-11-13,60
b: 18 - 59 let,840534001,COVID-19,2024-11-20,44
b: 18 - 59 let,840534001,COVID-19,2024-11-23,13
b: 18 - 59 let,840534001,COVID-19,2024-11-26,69
b: 18 - 59 let,840534001,COVID-19,2024-12-03,64
b: 18 - 59 let,840534001,COVID-19,2024-12-06,40
b: 18 - 59 let,840534001,COVID-19,2024-12-09,15
b: 18 - 59 let,840534001,COVID-19,2024-12-12,32
b: 18 - 59 let,840534001,COVID-19,2024-12-19,37
b: 18 - 59 let,840534001,COVID-19,2025-01-07,19
b: 18 - 59 let,840534001,COVID-19,2025-01-10,49
b: 18 - 59 let,840534001,COVID-19,2025-01-17,25
b: 18 - 59 let,840534001,COVID-19,2025-01-20,4
b: 18 - 59 let,840534001,COVID-19,2025-01-23,18
b: 18 - 59 let,840534001,COVID-19,2025-02-11,1
b: 18 - 59 let,840534001,COVID-19,2025-02-18,1
b: 18 - 59 let,840534001,COVID-19,2025-02-27,15
b: 18 - 59 let,840534001,COVID-19,2025-03-06,3
b: 18 - 59 let,840534001,COVID-19,2025-03-19,1
b: 18 - 59 let,840534001,COVID-19,2025-03-25,2
b: 18 - 59 let,840534001,COVID-19,2025-03-28,14
b: 18 - 59 let,840534001,COVID-19,2025-07-03,2
b: 18 - 59 let,840534001,COVID-19,2025-09-08,1
b: 18 - 59 let,840534001,COVID-19,2025-09-11,9
b: 18 - 59 let,840534001,COVID-19,2025-09-18,12
b: 18 - 59 let,840534001,COVID-19,2025-09-24,2
b: 18 - 59 let,840534001,COVID-19,2025-10-01,3
b: 18 - 59 let,840534001,COVID-19,2025-10-07,14
b: 18 - 59 let,840534001,COVID-19,2025-10-10,10
b: 18 - 59 let,840534001,COVID-19,2025-10-17,5
b: 18 - 59 let,840534001,COVID-19,2025-10-20,230
b: 18 - 59 let,840534001,COVID-19,2025-10-23,184
b: 18 - 59 let,840534001,COVID-19,2025-11-05,137
b: 18 - 59 let,840534001,COVID-19,2025-11-08,29
b: 18 - 59 let,840534001,COVID-19,2025-11-15,33
b: 18 - 59 let,840534001,COVID-19,2025-11-18,122
b: 18 - 59 let,840534001,COVID-19,2025-11-21,78
b: 18 - 59 let,840534001,COVID-19,2025-11-24,47
c: 60 - 69 let,46233009,Gripa,2023-09-27,1
c: 60 - 69 let,46233009,Gripa,2023-10-03,112
c: 60 - 69 let,46233009,Gripa,2023-10-10,661
c: 60 - 69 let,46233009,Gripa,2023-10-13,513
c: 60 - 69 let,46233009,Gripa,2023-10-16,600
c: 60 - 69 let,46233009,Gripa,2023-10-23,727
c: 60 - 69 let,46233009,Gripa,2023-10-26,1043
c: 60 - 69 let,46233009,Gripa,2023-10-29,1
c: 60 - 69 let,46233009,Gripa,2023-11-01,1
c: 60 - 69 let,46233009,Gripa,2023-11-08,899
c: 60 - 69 let,46233009,Gripa,2023-11-11,190
c: 60 - 69 let,46233009,Gripa,2023-11-14,615
c: 60 - 69 let,46233009,Gripa,2023-11-17,358
c: 60 - 69 let,46233009,Gripa,2023-11-24,329
c: 60 - 69 let,46233009,Gripa,2023-11-27,230
c: 60 - 69 let,46233009,Gripa,2023-11-30,422
c: 60 - 69 let,46233009,Gripa,2023-12-07,351
c: 60 - 69 let,46233009,Gripa,2023-12-13,201
c: 60 - 69 let,46233009,Gripa,2023-12-26,1
c: 60 - 69 let,46233009,Gripa,2023-12-29,22
c: 60 - 69 let,46233009,Gripa,2024-01-08,56
c: 60 - 69 let,46233009,Gripa,2024-01-11,78
c: 60 - 69 let,46233009,Gripa,2024-01-17,36
c: 60 - 69 let,46233009,Gripa,2024-01-21,2
c: 60 - 69 let,46233009,Gripa,2024-01-24,19
c: 60 - 69 let,46233009,Gripa,2024-01-30,18
c: 60 - 69 let,46233009,Gripa,2024-02-06,10
c: 60 - 69 let,46233009,Gripa,2024-02-09,3
c: 60 - 69 let,46233009,Gripa,2024-02-12,5
c: 60 - 69 let,46233009,Gripa,2024-02-15,8
c: 60 - 69 let,46233009,Gripa,2024-02-22,2
c: 60 - 69 let,46233009,Gripa,2024-02-28,5
c: 60 - 69 let,46233009,Gripa,2024-03-28,2
c: 60 - 69 let,46233009,Gripa,2024-05-09,1
c: 60 - 69 let,46233009,Gripa,2024-09-24,2
c: 60 - 69 let,46233009,Gripa,2024-09-27,37
c: 60 - 69 let,46233009,Gripa,2024-10-04,200
c: 60 - 69 let,46233009,Gripa,2024-10-07,529
c: 60 - 69 let,46233009,Gripa,2024-10-10,853
c: 60 - 69 let,46233009,Gripa,2024-10-23,794
c: 60 - 69 let,46233009,Gripa,2024-10-26,103
c: 60 - 69 let,46233009,Gripa,2024-10-29,525
c: 60 - 69 let,46233009,Gripa,2024-11-05,808
c: 60 - 69 let,46233009,Gripa,2024-11-08,652
c: 60 - 69 let,46233009,Gripa,2024-11-11,429
c: 60 - 69 let,46233009,Gripa,2024-11-18,299
c: 60 - 69 let,46233009,Gripa,2024-11-21,450
c: 60 - 69 let,46233009,Gripa,2024-11-27,274
c: 60 - 69 let,46233009,Gripa,2024-12-04,228
c: 60 - 69 let,46233009,Gripa,2024-12-07,2
c: 60 - 69 let,46233009,Gripa,2024-12-10,148
c: 60 - 69 let,46233009,Gripa,2024-12-13,136
c: 60 - 69 let,46233009,Gripa,2024-12-20,86
c: 60 - 69 let,46233009,Gripa,2024-12-23,32
c: 60 - 69 let,46233009,Gripa,2024-12-26,1
c: 60 - 69 let,46233009,Gripa,2025-01-08,341
c: 60 - 69 let,46233009,Gripa,2025-01-18,17
c: 60 - 69 let,46233009,Gripa,2025-01-21,83
c: 60 - 69 let,46233009,Gripa,2025-01-24,30
c: 60 - 69 let,46233009,Gripa,2025-01-27,23
c: 60 - 69 let,46233009,Gripa,2025-02-03,9
c: 60 - 69 let,46233009,Gripa,2025-02-06,19
c: 60 - 69 let,46233009,Gripa,2025-02-12,8
c: 60 - 69 let,46233009,Gripa,2025-02-19,10
c: 60 - 69 let,46233009,Gripa,2025-03-04,1
c: 60 - 69 let,46233009,Gripa,2025-03-07,3
c: 60 - 69 let,46233009,Gripa,2025-03-10,1
c: 60 - 69 let,46233009,Gripa,2025-03-20,1
c: 60 - 69 let,46233009,Gripa,2025-03-26,2
c: 60 - 69 let,46233009,Gripa,2025-10-08,7
c: 60 - 69 let,46233009,Gripa,2025-10-15,93
c: 60 - 69 let,46233009,Gripa,2025-10-21,2359
c: 60 - 69 let,46233009,Gripa,2025-10-24,1942
c: 60 - 69 let,46233009,Gripa,2025-10-31,1
c: 60 - 69 let,46233009,Gripa,2025-11-03,1160
c: 60 - 69 let,46233009,Gripa,2025-11-06,1523
c: 60 - 69 let,46233009,Gripa,2025-11-16,1
c: 60 - 69 let,46233009,Gripa,2025-11-19,704
c: 60 - 69 let,46233009,Gripa,2025-11-22,186
c: 60 - 69 let,46233009,Gripa,2025-11-25,485
b: 18 - 59 let,46233009,Gripa,2023-09-26,1
b: 18 - 59 let,46233009,Gripa,2023-09-29,25
b: 18 - 59 let,46233009,Gripa,2023-10-06,103
b: 18 - 59 let,46233009,Gripa,2023-10-09,248
b: 18 - 59 let,46233009,Gripa,2023-10-12,446
b: 18 - 59 let,46233009,Gripa,2023-10-15,1
b: 18 - 59 let,46233009,Gripa,2023-10-22,2
b: 18 - 59 let,46233009,Gripa,2023-10-25,658
b: 18 - 59 let,46233009,Gripa,2023-10-28,67
b: 18 - 59 let,46233009,Gripa,2023-10-31,2
b: 18 - 59 let,46233009,Gripa,2023-11-07,842
b: 18 - 59 let,46233009,Gripa,2023-11-10,593
b: 18 - 59 let,46233009,Gripa,2023-11-13,429
b: 18 - 59 let,46233009,Gripa,2023-11-20,359
b: 18 - 59 let,46233009,Gripa,2023-11-23,447
b: 18 - 59 let,46233009,Gripa,2023-11-29,287
b: 18 - 59 let,46233009,Gripa,2023-12-06,276
b: 18 - 59 let,46233009,Gripa,2023-12-09,3
b: 18 - 59 let,46233009,Gripa,2023-12-12,207
b: 18 - 59 let,46233009,Gripa,2023-12-15,178
b: 18 - 59 let,46233009,Gripa,2023-12-22,106
b: 18 - 59 let,46233009,Gripa,2023-12-25,2
b: 18 - 59 let,46233009,Gripa,2023-12-28,55
b: 18 - 59 let,46233009,Gripa,2024-01-04,87
b: 18 - 59 let,46233009,Gripa,2024-01-10,62
b: 18 - 59 let,46233009,Gripa,2024-01-23,46
b: 18 - 59 let,46233009,Gripa,2024-01-26,30
b: 18 - 59 let,46233009,Gripa,2024-01-29,17
b: 18 - 59 let,46233009,Gripa,2024-02-05,4
b: 18 - 59 let,46233009,Gripa,2024-02-14,7
b: 18 - 59 let,46233009,Gripa,2024-02-21,7
b: 18 - 59 let,46233009,Gripa,2024-02-27,3
b: 18 - 59 let,46233009,Gripa,2024-03-05,2
b: 18 - 59 let,46233009,Gripa,2024-03-08,1
b: 18 - 59 let,46233009,Gripa,2024-03-14,3
b: 18 - 59 let,46233009,Gripa,2024-03-21,2
b: 18 - 59 let,46233009,Gripa,2024-05-14,1
b: 18 - 59 let,46233009,Gripa,2024-06-28,1
b: 18 - 59 let,46233009,Gripa,2024-09-23,1
b: 18 - 59 let,46233009,Gripa,2024-09-26,10
b: 18 - 59 let,46233009,Gripa,2024-10-03,118
b: 18 - 59 let,46233009,Gripa,2024-10-09,490
b: 18 - 59 let,46233009,Gripa,2024-10-12,5
b: 18 - 59 let,46233009,Gripa,2024-10-19,144
b: 18 - 59 let,46233009,Gripa,2024-10-22,651
b: 18 - 59 let,46233009,Gripa,2024-10-25,669
b: 18 - 59 let,46233009,Gripa,2024-11-04,379
b: 18 - 59 let,46233009,Gripa,2024-11-07,781
b: 18 - 59 let,46233009,Gripa,2024-11-10,1
b: 18 - 59 let,46233009,Gripa,2024-11-17,6
b: 18 - 59 let,46233009,Gripa,2024-11-20,517
b: 18 - 59 let,46233009,Gripa,2024-11-23,71
b: 18 - 59 let,46233009,Gripa,2024-11-26,413
b: 18 - 59 let,46233009,Gripa,2024-12-03,301
b: 18 - 59 let,46233009,Gripa,2024-12-06,236
b: 18 - 59 let,46233009,Gripa,2024-12-09,150
b: 18 - 59 let,46233009,Gripa,2024-12-16,69
b: 18 - 59 let,46233009,Gripa,2024-12-19,149
b: 18 - 59 let,46233009,Gripa,2024-12-22,2
b: 18 - 59 let,46233009,Gripa,2025-01-01,14
b: 18 - 59 let,46233009,Gripa,2025-01-04,4
b: 18 - 59 let,46233009,Gripa,2025-01-07,377
b: 18 - 59 let,46233009,Gripa,2025-01-10,280
b: 18 - 59 let,46233009,Gripa,2025-01-17,138
b: 18 - 59 let,46233009,Gripa,2025-01-20,78
b: 18 - 59 let,46233009,Gripa,2025-01-23,84
b: 18 - 59 let,46233009,Gripa,2025-01-30,44
b: 18 - 59 let,46233009,Gripa,2025-02-05,21
b: 18 - 59 let,840534001,COVID-19,2023-09-06,3
b: 18 - 59 let,840534001,COVID-19,2023-09-19,2
b: 18 - 59 let,840534001,COVID-19,2023-09-22,4
b: 18 - 59 let,840534001,COVID-19,2023-09-28,1
b: 18 - 59 let,840534001,COVID-19,2023-10-05,19
b: 18 - 59 let,840534001,COVID-19,2023-10-11,99
b: 18 - 59 let,840534001,COVID-19,2023-10-21,204
b: 18 - 59 let,840534001,COVID-19,2023-10-24,176
b: 18 - 59 let,840534001,COVID-19,2023-10-27,133
b: 18 - 59 let,840534001,COVID-19,2023-10-30,16
b: 18 - 59 let,840534001,COVID-19,2023-11-03,105
b: 18 - 59 let,840534001,COVID-19,2023-11-06,91
b: 18 - 59 let,840534001,COVID-19,2023-11-09,158
b: 18 - 59 let,840534001,COVID-19,2023-11-22,103
b: 18 - 59 let,840534001,COVID-19,2023-11-25,32
b: 18 - 59 let,840534001,COVID-19,2023-11-28,73
b: 18 - 59 let,840534001,COVID-19,2023-12-05,90
b: 18 - 59 let,840534001,COVID-19,2023-12-08,62
b: 18 - 59 let,840534001,COVID-19,2023-12-11,65
b: 18 - 59 let,840534001,COVID-19,2023-12-14,98
b: 18 - 59 let,840534001,COVID-19,2023-12-21,175
b: 18 - 59 let,840534001,COVID-19,2023-12-27,13
b: 18 - 59 let,840534001,COVID-19,2024-01-03,7
b: 18 - 59 let,840534001,COVID-19,2024-01-09,17
b: 18 - 59 let,840534001,COVID-19,2024-01-12,22
b: 18 - 59 let,840534001,COVID-19,2024-01-19,20
b: 18 - 59 let,840534001,COVID-19,2024-01-22,3
b: 18 - 59 let,840534001,COVID-19,2024-01-25,12
b: 18 - 59 let,840534001,COVID-19,2024-02-07,3
b: 18 - 59 let,840534001,COVID-19,2024-02-20,6
b: 18 - 59 let,840534001,COVID-19,2024-03-07,2
b: 18 - 59 let,840534001,COVID-19,2024-03-13,1
b: 18 - 59 let,840534001,COVID-19,2024-03-20,1
b: 18 - 59 let,840534001,COVID-19,2024-04-18,1
b: 18 - 59 let,840534001,COVID-19,2024-04-24,1
b: 18 - 59 let,840534001,COVID-19,2024-05-07,1
b: 18 - 59 let,840534001,COVID-19,2024-05-10,2
b: 18 - 59 let,840534001,COVID-19,2024-05-23,1
b: 18 - 59 let,840534001,COVID-19,2024-07-04,1
b: 18 - 59 let,840534001,COVID-19,2024-07-23,1
b: 18 - 59 let,840534001,COVID-19,2024-08-08,1
b: 18 - 59 let,840534001,COVID-19,2024-09-06,6
b: 18 - 59 let,840534001,COVID-19,2024-09-19,5
b: 18 - 59 let,840534001,COVID-19,2024-09-25,3
b: 18 - 59 let,840534001,COVID-19,2024-10-02,21
b: 18 - 59 let,840534001,COVID-19,2024-10-08,51
b: 18 - 59 let,840534001,COVID-19,2024-10-15,64
b: 18 - 59 let,840534001,COVID-19,2024-10-18,87
b: 18 - 59 let,840534001,COVID-19,2024-10-21,98
b: 18 - 59 let,840534001,COVID-19,2024-10-24,239
